com-, con-, co-	ともに、強意
femoro-, femor-	大腿骨、大腿部、もも、腿節
femto-, femt-	10のマイナス15乗
gamo-, gam-	有性、結合
ganglio-, gangli-	神経節、ガングリオン、結節腫、中枢
genio-, geni-	あご
glacio-, glaci-	氷
hapto-, hapt-	付着、結合
he-	動物の雄(人間も含む)
hebe-, heb-	青年時代、青春期、若いころ
historico-, historic-	歴史
historio-, histori-	歴史
humero-, humer-	上腕骨、上膊骨
hyo-, hy-	舌骨、豚
idio-, idi-	個人特有の、自身の、独自の
kerauno-, keraun-	雷
klepto-, klept-	盗み、窃盗
lacto-, lact-	乳、乳酸、ラクトース、乳糖
linguo-, lingu-	言語、舌
luso-, lus-	ポルトガルの
lyo-, ly-	溶解、分散
magnio-, magni-	大きい、偉い
male-, mal-	悪い、邪悪な、縁起の悪い、不吉な
megalo-, megal-	巨大な、異常に大きさ、大げさ
mento-, ment-	顎、頤
mito-, mit-	糸状
myringo-, myring-	鼓膜
nervo-, nerv-	神経、神経過敏、神経質な
noto-, not-	背、背部、後ろ、南の
oeno-, oen-	ワイン、アルコール飲料
omo-, om-	肩、肩甲骨
omphalo-, omphal-	へそ
onto-, ont-	存在、実在
onycho-, onych-	爪
oo-, o-	卵、卵子
ophthalmo-, ophthalm-	目
opsono-, opson-	[物質]オプソニン(白血球の食菌作用を促進する血清中の物質)
pinnatio-, pinnati-	羽状の、羽状に
pneumo-, pneum-	肺、呼吸、空気、気体、肺炎
pneumato-, pneumat-	空気、 気体、呼吸、魂、精神
poro-, por-	細穴、毛穴、、気孔
postero-, poster-	後ろ、後部の
pygo-, pyg-	臀部、尻
reticulo-, reticul-	細網、第二胃
rhabdo-, rhabd-	棒状の
salio-, sali-	塩
skeleto-, skelet-	骨格、骸骨
spheno-, sphen-	くさび状の、くさび型の
stato-, stat-	安定、平衝
strepto-, strept-	ねじれた、連鎖状球菌の、ストレプトミセス菌の.
talo-, tal-	距骨
tecno-, tecn-	子供
temporo-, tempor-	側頭の
thero-, ther-	野獣
tibio-, tibi-	脛骨
trocho-, troch-	車輪
tympano-, tympan-	鼓膜
ultramicro-, ultramicr-	超微量の、超微小の
uro-, ur-	尿、尿路、尿素、尾
utriculo-, utricul-	卵形嚢、 胞嚢
vibro-, vibr-	振動、震え、震動
visco-, visc-	粘度、粘着性
viscero-, viscer-	腸、はらわた
vitello-, vitell-	黄身、卵黄
normo-, norm-	標準の、普通の (hyper- とhypo- の間)
telluro-, tellur-	土、地球、[元素]テルル
spiro-, spir-	呼吸、螺旋状の、スピロ化合物
staphylo-, staphyl-	口蓋垂、ぶどう状球菌の、ぶどうの房に似た
galacto-, galact-	乳、銀河の、ガラクトースを含む
lamino-, lamin-	層の、舌端の
leukocyto-, leukocyt-	白血球
lipo-, lip-	不足、欠けている、去る
insectio-, insecti-	昆虫
leio-, lei-	滑らか、スムーズ
pericardio-, pericardi-	心膜
periosto-, periost-	骨膜
peritono-, periton-	腹膜
abdomino-, abdomin-	お腹の、腹部の
acaro-, acar-	ダニ類、ダニ目
achro-, achr-	無色の
achromato-, achromat-	無色の
acouo-, acou-	聴覚上の
aeluro-, aelur-	猫
aeto-, aet-	鷲（ワシ）
afro-, afr-	アフリカの
agamo-, agam-	無配偶
agrio-, agri-	野生の
ailuro-, ailur-	猫
albo-, alb-	白
albumino-, albumin-	アルブミン(一群の可溶性タンパク質の総称)
alco-, alc-	アルコール
allelo-, allel-	相互、相互
alloxo-, allox-	［物質］アロキサン
alveolo-, alveol-	胞、肺胞、歯槽
amero-, amer-	アメリカの
americo-, americ-	アメリカの
ammo-, amm-	砂
ammino-, ammin-	[物質]アンミン
amorpho-, amorph-	無晶形、非晶形、非結晶
amygdalo-, amygdal-	へんとう体、アーモンド
anarcho-, anarch-	無政府状態
anatomo-, anatom-	解剖
anemo-, anem-	風、吸入
angulio-, anguli-	角度
angustio-, angusti-	狭い
aniso-, anis-	不等、不平等、［物質］アニス、［植物］アニス
ankylo-, ankyl-	屈曲
anthro-, anthr-	[物質]アントラセンの
antro-, antr-	洞、腔、幽門洞、上顎洞、卵胞腔
apio-, api-	蜜蜂、養蜂
apico-, apic-	頂点、絶頂、、明瞭
appendo-, append-	虫垂
arcto-, arct-	クマ
arenaceo-, arenace-	砂、砂質、砂状
argillo-, argill-	粘土
argillaceo-, argillace-	粘土質
arso-, ars-	［元素］ヒ素
arsono-, arson-	アルソン酸
arthro-, arthr-	関節
arto-, art-	パン
asco-, asc-	(人体の)腹水、(菌類の)子嚢
astero-, aster-	星、(生物の)構造的・属名
astheno-, asthen-	弱い、弱さ
astragalo-, astragal-	距骨
atlo-, atl-	環椎
atloido-, atloid-	環椎
audito-, audit-	聴覚の、音声
auriculo-, auricul-	聴覚、耳
auro-, aur-	金、黄金、金メッキ
auxo-, aux-	増加、加速、成長
azido-, azid-	アジド基を持つ、アゾ化合物
azoxyo-, azoxy-	アゾキシ化合物
balneo-, balne-	入浴、浴槽、浴室、沐浴
baryto-, baryt-	酸化バリウム
basi-, baso-	基礎、土台
basidio-, basidi-	担子
batracho-, batrach-	カエル、両生類
Belgo-, Belg-	ベルギーの
biblico-, biblic-	聖書の
bilio-, bili-	胆汁
bismuto-, bismut-	［物質］蒼鉛、ビスマス
bothrio-, bothri-	吸溝
bovio-, bovi-	牛
bromo-, brom-	臭素
bronchio-, bronchi-	気管支
butoxyo-, butoxy-	［物質］ブトキシル
calio-, cali-	美しい
calcareo-, calcare-	石灰質
calcio-, calc-	[元素]カルシウム
calyco-, calyc-	(植物の)がく
capsulo-, capsul-	カプセル
carbo-, carb-	[元素]炭素
carbolo-, carbol-	[物質]炭酸
carbonio-, carboni-	炭、石炭
carboxyo-, carboxy-	[物質]カルボキシル
carcino-, carcin-	腫瘍、癌、[生物]カニ
carpo-, carp-	果実
carpo-, carp-	手根の
ceco-, cec-	盲腸
cello-, cell-	［物質］セルロース
cellulo-, cellul-	細胞の
cellulo-, cellul-	［生化］セルロース
cephalo-, cephal-	頭
cero-, cer-	蝋（ろう）
cerauno-, ceraun-	雷
cerebello-, cerebell-	小脳
chalco-, chalc-	銅、真ちゅう
Daco-, Dac-	ダキアの
dactylio-, dactyli-	指輪、宝石
Dano-, Dan-	デンマークの
dento-, dent-	歯
dermo-, derm-	(生物の)皮膚
deuto-, deut-	第2の、再、二次的の
deutero-, deuter-	[物質]重水素
deuterio-, deuteri-	[物質]重水素
dextro-, dextr-	右、右方向へ
diabolo-, diabol-	悪魔
diaphano-, diaphan-	透明
diversio-, diversi-	多様性のある、多様に
dryo-, dry-	(植物)～属(学名)
duplicato-, duplicat-	複製、2倍、二重
embryono-, embryon-	胚、胎児
empirio-, empiri-	経験
encephalo-, encephal-	脳
epilepto-, epilept-	(病気の)てんかん
epithelo-, epithel-	上皮
epoxyo-, epoxy-	[物質]エポキシ
ergo-, erg-	仕事
ergato-, ergat-	働く人
etho-, eth-	［物質］エチル
ethoxyo-, ethoxy-	[物質]エトキシルを含む
Etrusco-, Etrusc-	エトルリアの
euro-, eur-	EUの、ヨーロッパの、西ヨーロッパの
exa-, ex-	10の18乗、2の60乗
facio-, faci-	顔
femino-, femin-	女性
Fenno-, Fenn-	フィンランドの
ferroso-, ferros-	鉄、第 1 鉄
fluo-, flu-	蛍光、［元素］フッ素
fluoro-, fluor-	蛍光、［元素］フッ素
fluorescio-, fluoresci-	蛍光
fluvio-, fluvi-	河川の
fumaro-, fumar-	フマル酸
gameto-, gamet-	配偶子
gastero-, gaster-	胃
Germano-, German-	ドイツの
germano-, german-	[物質]ゲルマニウム
giga-, gig-	10億
glotto-, glott-	言語
glycero-, glycer-	[物質]グリセロール
gramino-, gramin-	草
gravio-, gravi-	重力
gyno-, gyn-	女、女性、女性生殖器、卵巣、雌ずい
gyro-, gyr-	円、サークル、輪、螺旋
hagio-, hagi-	神聖な、聖人
halo-, hal-	海、塩、塩水、[物質]ハロゲン
haplo-, hapl-	単一の、単純の
Helleno-, Hellen-	ギリシアの
hemato-, hema-	血
haemato-, haemat-	血
heno-, hen-	1、単一
hepato-, hepat-	肝臓
Hiberno-, Hibern-	アイルランドの
hippo-, hipp-	馬
Hispano-, Hispan-	スペインの、スペイン人・語（の）
histo-, hist-	組織
histio-, histi-	組織
holo-, hol-	全体の、全ての、全体に、全てに
homo-, hom-	同一の、同様の、類似の
homino-, homin-	人間
hyalo-, hyal-	ガラス、ガラス状
hydato-, hydat-	水
hyeto-, hyet-	雨
hypso-, hyps-	高さ
hystero-, hyster-	子宮、ヒステリー
Ibero-, Iber-	イベリアの
ichthyo-, ichthy-	魚
icono-, icon-	像、画像、肖像
iodo-, iod-	[物質]ヨウ素
Irano-, Iran-	イランの
irido-, irid-	虹、虹彩、アヤメ(の類)、[物質]イリジウム
Italo-, Ital-	イタリアの
jejuno-, jejun-	空腸
juxta-, juxt-	近接、近傍
karyo-, kary-	細胞核
keno-, ken-	空の
keto-, ket-	[物質]ケトン基
kino-, kin-	運動
kinesio-, kinesi-	動作
kineto-, kinet-	動作
lamello-, lamell-	薄板、薄葉、薄膜、薄層、薄片
lecitho-, lecith-	卵黄
lepto-, lept-	小さい、細かい
Letto-, Lett-	ラトビアの
leuco-, leuc-	白、無色
Libyo-, Liby-	リビアの
ligno-, lign-	木、[物質]リグニン
limno-, limn-	湖、湖水
lithio-, lithi-	[元素]リチウム
logico-, logic-	論理的な
lophio-, lophi-	鶏冠
loxo-, lox-	斜線、斜め
lucio-, luci-	光、透明
ludicro-, ludicr-	滑稽な、ばかげた
lympho-, lymph-	リンパ組織、リンパ液、リンパ球
lymphangio-, lymphangi-	血管、リンパ管
lyso-, lys-	溶解、分解
lyxo-, lyx-	［物質］リキソース(糖の一種)
maculo-, macul-	斑点、斑状
